# Created by CSS Data Browser Version 4.2.4.201908232322
# 
# Start Time : 2020-06-30 00:00:00.000
# End Time   : 2020-07-13 00:00:00.000
# Source     : Linear interp.
# Interpolation Interval: 00:01:00
# Format     : Decimal (2 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: PXD:P1012:hv:CURR:cur
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 
# Channel: SKB2:BMLDCCT:CURRENT
# Archives:
# 1) Belle2
#    URL: pbraw://b2arch1.daqnet.kek.jp:17668/retrieval/
#    Key: 3
# 2) DHH
#    URL: pbraw://pxddhh.daqnet.kek.jp:17668/retrieval/
#    Key: 5
# 
# Channel: SKB2:BMHDCCT:CURRENT
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 2) Belle2
#    URL: pbraw://b2arch1.daqnet.kek.jp:17668/retrieval/
#    Key: 3
# 3) DHH
#    URL: pbraw://pxddhh.daqnet.kek.jp:17668/retrieval/
#    Key: 5
# 
# Channel: PXD:P1012:hv-load:VOLT:cur
# Archives:
# 1) PXD
#    URL: pbraw://pxdgw1.daqnet.kek.jp/retrieval/
#    Key: 1
# 

# Time	PXD:P1012:hv:CURR:cur Value	SKB2:BMLDCCT:CURRENT Value	SKB2:BMHDCCT:CURRENT Value	PXD:P1012:hv-load:VOLT:cur Value
2020-06-30 00:00:00.000000000	-1,058.80	569.13	526.30	-59,870.19
2020-06-30 00:00:00.000000000	-1,058.80	569.13	526.30	-59,870.19
2020-06-30 00:00:00.000000000	-1,058.80	569.13	526.30	-59,870.19
2020-06-30 00:01:00.000000000	-1,055.99	566.17	535.60	-59,841.00
2020-06-30 00:01:00.000000000	-1,055.99	566.17	535.60	-59,841.00
2020-06-30 00:01:00.000000000	-1,055.99	566.17	535.60	-59,841.00
2020-06-30 00:02:00.000000000	-1,056.38	567.43	537.80	-59,876.49
2020-06-30 00:02:00.000000000	-1,056.38	567.43	537.73	-59,876.49
2020-06-30 00:02:00.000000000	-1,056.38	567.43	537.73	-59,876.49
2020-06-30 00:03:00.000000000	-1,056.99	564.00	537.57	-59,841.79
2020-06-30 00:03:00.000000000	-1,056.99	564.00	537.46	-59,841.79
2020-06-30 00:03:00.000000000	-1,056.99	564.00	537.46	-59,841.79
2020-06-30 00:04:00.000000000	-1,056.88	566.67	538.29	-59,898.00
2020-06-30 00:04:00.000000000	-1,056.88	566.67	538.29	-59,898.00
2020-06-30 00:04:00.000000000	-1,056.88	566.67	538.29	-59,898.00
2020-06-30 00:05:00.000000000	-1,057.52	566.38	537.88	-59,851.78
2020-06-30 00:05:00.000000000	-1,057.52	566.38	537.88	-59,851.78
2020-06-30 00:05:00.000000000	-1,057.52	566.38	537.88	-59,851.78
2020-06-30 00:06:00.000000000	-1,059.96	567.57	538.04	-59,872.97
